Time	Count	Error
111396398.55146	8.10637	1.31503
111396408.55202	7.94705	0.89411
111396418.55259	7.84645	0.88844
111396428.55316	8.85241	0.94367
111396438.55372	8.45002	0.92197
111396448.55429	8.45002	0.92197
111396458.55485	9.65717	0.98563
111396468.55542	9.55657	0.98048
111396478.55598	9.25479	0.96488
111396488.55655	8.14824	0.90536
111396498.55711	8.34943	0.91647
111396508.55768	8.34943	0.91647
111396518.55824	9.75777	0.99075
111396528.55881	9.15419	0.95962
111396538.55937	7.64526	0.87697
111396548.55994	8.55062	0.92744
111396558.5605	7.54466	0.87118
111396568.56107	7.84645	0.88844
111396578.56163	7.54466	0.87118
111396588.5622	9.0536	0.95433
111396598.56276	8.34943	0.91647
111396608.56333	9.85836	0.99584
111396618.56389	8.65122	0.93288
111396628.56446	10.05955	1.00596
111396638.56502	8.04764	0.89975
111396648.56559	8.55062	0.92744
111396658.56615	7.14228	0.84763
111396668.56672	10.46193	1.02588
111396678.56728	8.55062	0.92744
111396688.56785	9.0536	0.95433
111396698.56841	6.94109	0.83561
111396708.56898	9.35538	0.97011
111396718.56954	9.25479	0.96488
111396728.57011	10.26074	1.01597
111396738.57067	9.0536	0.95433
111396748.57124	8.65122	0.93288
111396758.5718	8.85241	0.94367
111396768.57237	9.75777	0.99075
111396778.57293	7.94705	0.89411
111396788.5735	9.45598	0.97531
111396798.57406	9.95896	1.00091
111396808.57463	8.14824	0.90536
111396818.57519	9.35538	0.97011
111396828.57576	9.45598	0.97531
111396838.57632	8.55062	0.92744
111396848.57689	10.05955	1.00596
111396858.57745	8.85241	0.94367
111396868.57802	9.25479	0.96488
111396878.57858	8.04764	0.89975
111396888.57915	8.75181	0.93829
111396898.57971	7.14228	0.84763
111396908.58028	9.45598	0.97531
111396918.58084	6.23692	0.79209
111396928.58141	8.24883	0.91093
111396938.58197	8.04764	0.89975
111396948.58254	9.65717	0.98563
111396958.5831	7.44407	0.86536
111396968.58367	10.36134	1.02093
111396978.58423	8.75181	0.93829
111396988.5848	8.45002	0.92197
111396998.58536	8.55062	0.92744
111397008.58593	7.64526	0.87697
111397018.58649	9.35538	0.97011
111397028.58706	8.953	0.94902
111397038.58762	9.95896	1.00091
111397048.58819	8.953	0.94902
111397058.58875	10.05955	1.00596
111397068.58932	8.04764	0.89975
111397078.58988	7.64526	0.87697
111397088.59045	10.56253	1.0308
111397098.59101	9.15419	0.95962
111397108.59158	9.25479	0.96488
111397118.59214	11.06551	1.05505
111397128.59271	9.85836	0.99584
111397138.59327	7.34347	0.85949
111397148.59384	7.54466	0.87118
111397158.5944	8.85241	0.94367
111397168.59497	8.65122	0.93288
111397178.59553	9.35538	0.97011
111397188.5961	7.44407	0.86536
111397198.59666	8.65122	0.93288
111397208.59722	9.75777	0.99075
111397218.59779	8.55062	0.92744
111397228.59835	7.44407	0.86536
111397238.59892	8.55062	0.92744
111397248.59948	8.34943	0.91647
111397258.60005	8.04764	0.89975
111397268.60061	7.34347	0.85949
111397278.60118	9.55657	0.98048
111397288.60174	8.65122	0.93288
111397298.60231	8.24883	0.91093
111397308.60287	9.95896	1.00091
111397318.60344	7.84645	0.88844
111397328.604	7.94705	0.89411
111397338.60457	8.953	0.94902
111397348.60513	7.54466	0.87118
111397358.6057	7.74586	0.88272
111397368.60626	9.55657	0.98048
111397378.60683	7.34347	0.85949
111397388.60739	7.04169	0.84164
111397398.60795	8.65122	0.93288
111397408.60852	9.25479	0.96488
111397418.60908	9.15419	0.95962
111397428.60965	8.953	0.94902
111397438.61021	9.85836	0.99584
111397448.61078	8.85241	0.94367
111397458.61134	10.05955	1.00596
111397468.61191	6.94109	0.83561
111397478.61247	9.65717	0.98563
111397488.61304	9.35538	0.97011
111397498.6136	7.04169	0.84164
111397508.61416	8.45002	0.92197
111397518.61473	8.45002	0.92197
111397528.61529	8.65122	0.93288
111397538.61586	10.66313	1.03569
111397548.61642	10.86432	1.04542
111397558.61699	7.94705	0.89411
111397568.61755	10.96491	1.05025
111397578.61812	10.16015	1.01097
111397588.61868	9.55657	0.98048
111397598.61925	10.96491	1.05025
111397608.61981	10.05955	1.00596
111397618.62037	8.55062	0.92744
111397628.62094	8.55062	0.92744
111397638.6215	8.04764	0.89975
111397648.62207	8.45002	0.92197
111397658.62263	9.0536	0.95433
111397668.6232	8.85241	0.94367
111397678.62376	8.953	0.94902
111397688.62433	7.04169	0.84164
111397698.62489	10.26074	1.01597
111397708.62546	8.65122	0.93288
111397718.62602	8.953	0.94902
111397728.62658	7.64526	0.87697
111397738.62715	9.65717	0.98563
111397748.62771	9.45598	0.97531
111397758.62828	8.14824	0.90536
111397768.62884	10.16015	1.01097
111397778.62941	8.85241	0.94367
111397788.62997	8.65122	0.93288
111397798.63054	8.34943	0.91647
111397808.6311	7.54466	0.87118
111397818.63166	7.34347	0.85949
111397828.63223	7.84645	0.88844
111397838.63279	8.953	0.94902
111397848.63336	8.14824	0.90536
111397858.63392	8.45002	0.92197
111397868.63449	10.86432	1.04542
111397878.63505	9.35538	0.97011
111397888.63561	9.95896	1.00091
111397898.63618	10.86432	1.04542
111397908.63674	8.65122	0.93288
111397918.63731	7.14228	0.84763
111397928.63787	8.85241	0.94367
111397938.63844	7.74586	0.88272
111397948.639	9.45598	0.97531
111397958.63956	7.74586	0.88272
111397968.64013	6.8405	0.82953
111397978.64069	8.55062	0.92744
111397988.64126	11.46789	1.07407
111397998.64182	9.75777	0.99075
111398008.64239	8.953	0.94902
111398018.64295	7.34347	0.85949
111398028.64351	8.75181	0.93829
111398038.64408	8.85241	0.94367
111398048.64464	7.94705	0.89411
111398058.64521	8.75181	0.93829
111398068.64577	7.14228	0.84763
111398078.64634	6.6393	0.81724
111398088.6469	9.45598	0.97531
111398098.64746	7.84645	0.88844
111398108.64803	6.43811	0.80476
111398118.64859	10.36134	1.02093
111398128.64916	7.84645	0.88844
111398138.64972	8.75181	0.93829
111398148.65029	7.44407	0.86536
111398158.65085	9.0536	0.95433
111398168.65141	8.34943	0.91647
111398178.65198	8.55062	0.92744
111398188.65254	8.24883	0.91093
111398198.65311	9.25479	0.96488
111398208.65367	9.95896	1.00091
111398218.65423	9.15419	0.95962
111398228.6548	9.45598	0.97531
111398238.65536	8.04764	0.89975
111398248.65593	9.45598	0.97531
111398258.65649	9.45598	0.97531
111398268.65705	9.15419	0.95962
111398278.65762	9.45598	0.97531
111398288.65818	8.85241	0.94367
111398298.65875	8.24883	0.91093
111398308.65931	8.55062	0.92744
111398318.65988	10.05955	1.00596
111398328.66044	9.35538	0.97011
111398338.661	7.84645	0.88844
111398348.66157	9.35538	0.97011
111398358.66213	8.55062	0.92744
111398368.6627	8.65122	0.93288
111398378.66326	9.55657	0.98048
111398388.66382	10.16015	1.01097
111398398.66439	8.85241	0.94367
111398408.66495	8.75181	0.93829
111398418.66552	8.55062	0.92744
111398428.66608	8.45002	0.92197
111398438.66664	9.0536	0.95433
111398448.66721	8.45002	0.92197
111398458.66777	9.0536	0.95433
111398468.66834	8.55062	0.92744
111398478.6689	8.75181	0.93829
111398488.66946	8.953	0.94902
111398498.67003	6.8405	0.82953
111398508.67059	7.24288	0.85358
111398518.67116	8.65122	0.93288
111398528.67172	7.34347	0.85949
111398538.67228	8.04764	0.89975
111398548.67285	10.56253	1.0308
111398558.67341	8.45002	0.92197
111398568.67398	8.85241	0.94367
111398578.67454	9.35538	0.97011
111398588.6751	7.94705	0.89411
111398598.67567	6.53871	0.81103
111398608.67623	8.55062	0.92744
111398618.67679	8.75181	0.93829
111398628.67736	8.75181	0.93829
111398638.67792	8.953	0.94902
111398648.67849	8.14824	0.90536
111398658.67905	6.53871	0.81103
111398668.67961	9.15419	0.95962
111398678.68018	8.45002	0.92197
111398688.68074	9.55657	0.98048
111398698.68131	8.34943	0.91647
111398708.68187	6.94109	0.83561
111398718.68243	9.25479	0.96488
111398728.683	10.66313	1.03569
111398738.68356	8.75181	0.93829
111398748.68412	8.953	0.94902
111398758.68469	9.25479	0.96488
111398768.68525	9.55657	0.98048
111398778.68582	8.45002	0.92197
111398788.68638	10.46193	1.02588
111398798.68694	9.85836	0.99584
111398808.68751	8.45002	0.92197
111398818.68807	9.95896	1.00091
111398828.68864	9.35538	0.97011
111398838.6892	8.45002	0.92197
111398848.68976	7.94705	0.89411
111398858.69033	9.55657	0.98048
111398868.69089	9.15419	0.95962
111398878.69145	8.45002	0.92197
111398888.69202	7.84645	0.88844
111398898.69258	9.25479	0.96488
111398908.69314	9.45598	0.97531
111398918.69371	8.55062	0.92744
111398928.69427	8.24883	0.91093
111398938.69484	7.94705	0.89411
111398948.6954	10.26074	1.01597
111398958.69596	9.55657	0.98048
111398968.69653	9.25479	0.96488
111398978.69709	7.24288	0.85358
111398988.69765	9.95896	1.00091
111398998.69822	8.953	0.94902
111399008.69878	9.55657	0.98048
111399018.69935	10.05955	1.00596
111399028.69991	8.85241	0.94367
111399038.70047	9.75777	0.99075
111399048.70104	9.65717	0.98563
111399058.7016	10.05955	1.00596
111399068.70216	8.953	0.94902
111399078.70273	9.55657	0.98048
111399088.70329	9.15419	0.95962
111399098.70385	10.66313	1.03569
111399108.70442	8.75181	0.93829
111399118.70498	9.75777	0.99075
111399128.70555	8.75181	0.93829
111399138.70611	7.74586	0.88272
111399148.70667	8.65122	0.93288
111399158.70724	8.65122	0.93288
111399168.7078	8.45002	0.92197
111399178.70836	8.65122	0.93288
111399188.70893	8.85241	0.94367
111399198.70949	9.25479	0.96488
111399208.71005	8.34943	0.91647
111399218.71062	9.35538	0.97011
111399228.71118	7.74586	0.88272
111399238.71174	9.25479	0.96488
111399248.71231	8.34943	0.91647
111399258.71287	7.74586	0.88272
111399268.71343	9.75777	0.99075
111399278.714	8.55062	0.92744
111399288.71456	9.35538	0.97011
111399298.71512	8.24883	0.91093
111399308.71569	7.14228	0.84763
111399318.71625	8.85241	0.94367
111399328.71682	8.953	0.94902
111399338.71738	9.15419	0.95962
111399348.71794	9.25479	0.96488
111399358.71851	9.85836	0.99584
111399368.71907	10.26074	1.01597
111399378.71963	10.16015	1.01097
111399388.7202	10.66313	1.03569
111399398.72076	8.45002	0.92197
111399408.72132	9.85836	0.99584
111399418.72189	9.25479	0.96488
111399428.72245	11.56849	1.07877
111399438.72301	8.953	0.94902
111399448.72358	10.16015	1.01097
111399458.72414	8.55062	0.92744
111399468.7247	10.05955	1.00596
111399478.72527	9.25479	0.96488
111399488.72583	10.26074	1.01597
111399498.72639	8.953	0.94902
111399508.72696	10.36134	1.02093
111399518.72752	8.04764	0.89975
111399528.72808	8.34943	0.91647
111399538.72865	8.24883	0.91093
111399548.72921	10.46193	1.02588
111399558.72977	8.953	0.94902
111399568.73034	9.75777	0.99075
111399578.7309	9.0536	0.95433
111399588.73146	9.35538	0.97011
111399598.73203	10.05955	1.00596
111399608.73259	7.54466	0.87118
111399618.73315	7.44407	0.86536
111399628.73372	8.45002	0.92197
111399638.73428	11.1661	1.05984
111399648.73484	10.76372	1.04057
111399658.73541	8.65122	0.93288
111399668.73597	7.84645	0.88844
111399678.73653	8.55062	0.92744
111399688.7371	9.85836	0.99584
111399698.73766	10.05955	1.00596
111399708.73822	8.04764	0.89975
111399718.73879	8.75181	0.93829
111399728.73935	9.75777	0.99075
111399738.73991	8.85241	0.94367
111399748.74047	9.15419	0.95962
111399758.74104	7.04169	0.84164
111399768.7416	8.04764	0.89975
111399778.74216	8.24883	0.91093
111399788.74273	9.55657	0.98048
111399798.74329	8.85241	0.94367
111399808.74385	8.85241	0.94367
111399818.74442	8.85241	0.94367
111399828.74498	8.65122	0.93288
111399838.74554	7.74586	0.88272
111399848.74611	8.953	0.94902
111399858.74667	6.94109	0.83561
111399868.74723	7.64526	0.87697
111399878.7478	8.24883	0.91093
111399888.74836	10.36134	1.02093
111399898.74892	9.35538	0.97011
111399908.74948	9.65717	0.98563
111399918.75005	7.74586	0.88272
111399928.75061	8.55062	0.92744
111399938.75117	9.65717	0.98563
111399948.75174	10.16015	1.01097
111399958.7523	10.36134	1.02093
111399968.75286	8.65122	0.93288
111399978.75343	11.2667	1.0646
111399988.75399	8.45002	0.92197
111399998.75455	8.65122	0.93288
111400008.75512	8.85241	0.94367
111400018.75568	7.54466	0.87118
111400028.75624	11.1661	1.05984
111400038.7568	8.55062	0.92744
111400048.75737	9.15419	0.95962
111400058.75793	9.55657	0.98048
111400068.75849	10.05955	1.00596
111400078.75906	9.55657	0.98048
111400088.75962	9.95896	1.00091
111400098.76018	9.25479	0.96488
111400108.76075	8.04764	0.89975
111400118.76131	9.75777	0.99075
111400128.76187	10.05955	1.00596
111400138.76243	9.75777	0.99075
111400148.763	11.76968	1.08811
111400158.76356	8.953	0.94902
111400168.76412	10.96491	1.05025
111400178.76469	9.65717	0.98563
111400188.76525	10.36134	1.02093
111400198.76581	7.54466	0.87118
111400208.76637	9.15419	0.95962
111400218.76694	8.953	0.94902
111400228.7675	9.45598	0.97531
111400238.76806	10.46193	1.02588
111400248.76863	7.14228	0.84763
111400258.76919	7.84645	0.88844
111400268.76975	7.24288	0.85358
111400278.77031	9.55657	0.98048
111400288.77088	7.64526	0.87697
111400298.77144	8.75181	0.93829
111400308.772	8.65122	0.93288
111400318.77257	10.76372	1.04057
111400328.77313	8.85241	0.94367
111400338.77369	8.14824	0.90536
111400348.77425	8.65122	0.93288
111400358.77482	8.34943	0.91647
111400368.77538	8.34943	0.91647
111400378.77594	8.04764	0.89975
111400388.77651	8.65122	0.93288
111400398.77707	8.65122	0.93288
111400408.77763	7.54466	0.87118
111400418.77819	9.15419	0.95962
111400428.77876	9.15419	0.95962
111400438.77932	9.65717	0.98563
111400448.77988	8.45002	0.92197
111400458.78045	9.0536	0.95433
111400468.78101	8.45002	0.92197
111400478.78157	8.85241	0.94367
111400488.78213	7.54466	0.87118
111400498.7827	8.953	0.94902
111400508.78326	9.0536	0.95433
111400518.78382	10.86432	1.04542
111400528.78438	10.26074	1.01597
111400538.78495	9.0536	0.95433
111400548.78551	10.16015	1.01097
111400558.78607	10.66313	1.03569
111400568.78663	9.65717	0.98563
111400578.7872	8.04764	0.89975
111400588.78776	9.65717	0.98563
111400598.78832	9.15419	0.95962
111400608.78889	11.06551	1.05505
111400618.78945	10.66313	1.03569
111400628.79001	7.64526	0.87697
111400638.79057	8.55062	0.92744
111400648.79114	8.45002	0.92197
111400658.7917	9.95896	1.00091
111400668.79226	8.14824	0.90536
111400678.79282	9.35538	0.97011
111400688.79339	9.35538	0.97011
111400698.79395	9.0536	0.95433
111400708.79451	7.64526	0.87697
111400718.79507	8.55062	0.92744
111400728.79564	8.24883	0.91093
111400738.7962	10.26074	1.01597
111400748.79676	10.36134	1.02093
111400758.79732	9.55657	0.98048
111400768.79789	9.65717	0.98563
111400778.79845	9.55657	0.98048
111400788.79901	9.25479	0.96488
111400798.79957	9.55657	0.98048
111400808.80014	8.953	0.94902
111400818.8007	7.34347	0.85949
111400828.80126	10.56253	1.0308
111400838.80182	9.65717	0.98563
111400848.80239	7.84645	0.88844
111400858.80295	9.35538	0.97011
111400868.80351	8.75181	0.93829
111400878.80407	9.15419	0.95962
111400888.80464	8.55062	0.92744
111400898.8052	8.953	0.94902
111400908.80576	8.14824	0.90536
111400918.80632	7.14228	0.84763
111400928.80689	9.45598	0.97531
111400938.80745	7.24288	0.85358
111400948.80801	10.56253	1.0308
111400958.80857	7.14228	0.84763
111400968.80914	7.94705	0.89411
111400978.8097	9.15419	0.95962
111400988.81026	7.94705	0.89411
111400998.81082	7.54466	0.87118
111401008.81139	9.55657	0.98048
111401018.81195	7.44407	0.86536
111401028.81251	9.0536	0.95433
111401038.81307	9.25479	0.96488
111401048.81364	10.05955	1.00596
111401058.8142	9.65717	0.98563
111401068.81476	8.85241	0.94367
111401078.81532	10.16015	1.01097
111401088.81589	9.25479	0.96488
111401098.81645	11.2667	1.0646
111401108.81701	10.26074	1.01597
111401118.81757	11.76968	1.08811
111401128.81813	9.45598	0.97531
111401138.8187	10.16015	1.01097
111401148.81926	9.15419	0.95962
111401158.81982	10.66313	1.03569
111401168.82038	9.0536	0.95433
111401178.82095	8.953	0.94902
111401188.82151	9.85836	0.99584
111401198.82207	9.15419	0.95962
111401208.82263	10.16015	1.01097
111401218.8232	7.94705	0.89411
111401228.82376	10.96491	1.05025
111401238.82432	8.953	0.94902
111401248.82488	8.65122	0.93288
111401258.82544	8.65122	0.93288
111401268.82601	9.45598	0.97531
111401278.82657	8.953	0.94902
111401288.82713	9.25479	0.96488
111401298.82769	9.95896	1.00091
111401308.82826	8.65122	0.93288
111401318.82882	8.55062	0.92744
111401328.82938	7.94705	0.89411
111401338.82994	9.15419	0.95962
111401348.8305	10.16015	1.01097
111401358.83107	7.54466	0.87118
111401368.83163	9.25479	0.96488
111401378.83219	9.25479	0.96488
111401388.83275	8.953	0.94902
111401398.83332	8.75181	0.93829
111401408.83388	9.75777	0.99075
111401418.83444	9.45598	0.97531
111401428.835	7.64526	0.87697
111401438.83556	9.85836	0.99584
111401448.83613	7.84645	0.88844
111401458.83669	9.35538	0.97011
111401468.83725	7.44407	0.86536
111401478.83781	9.0536	0.95433
111401488.83837	9.15419	0.95962
111401498.83894	8.55062	0.92744
111401508.8395	6.94109	0.83561
111401518.84006	8.953	0.94902
111401528.84062	8.953	0.94902
111401538.84118	10.16015	1.01097
111401548.84175	7.24288	0.85358
111401558.84231	9.35538	0.97011
111401568.84287	8.24883	0.91093
111401578.84343	9.0536	0.95433
111401588.844	8.34943	0.91647
111401598.84456	8.55062	0.92744
111401608.84512	9.65717	0.98563
111401618.84568	9.0536	0.95433
111401628.84624	10.66313	1.03569
111401638.84681	10.36134	1.02093
111401648.84737	10.96491	1.05025
111401658.84793	10.36134	1.02093
111401668.84849	8.24883	0.91093
111401678.84905	9.15419	0.95962
111401688.84962	9.25479	0.96488
111401698.85018	8.75181	0.93829
111401708.85074	8.953	0.94902
111401718.8513	7.44407	0.86536
111401728.85186	9.65717	0.98563
111401738.85242	9.75777	0.99075
111401748.85299	9.25479	0.96488
111401758.85355	8.55062	0.92744
111401768.85411	8.45002	0.92197
111401778.85467	10.36134	1.02093
111401788.85523	10.16015	1.01097
111401798.8558	9.55657	0.98048
111401808.85636	9.0536	0.95433
111401818.85692	8.85241	0.94367
111401828.85748	10.66313	1.03569
111401838.85804	9.75777	0.99075
111401848.85861	10.66313	1.03569
111401858.85917	9.15419	0.95962
111401868.85973	9.15419	0.95962
111401878.86029	7.84645	0.88844
111401888.86085	9.65717	0.98563
111401898.86142	10.36134	1.02093
111401908.86198	8.24883	0.91093
111401918.86254	8.75181	0.93829
111401928.8631	8.953	0.94902
111401938.86366	10.36134	1.02093
111401948.86422	9.75777	0.99075
111401958.86479	9.65717	0.98563
111401968.86535	9.0536	0.95433
111401978.86591	10.36134	1.02093
111401988.86647	9.55657	0.98048
111401998.86703	8.55062	0.92744
111402008.86759	10.66313	1.03569
111402018.86816	9.85836	0.99584
111402028.86872	10.26074	1.01597
111402038.86928	8.85241	0.94367
111402048.86984	9.0536	0.95433
111402058.8704	8.24883	0.91093
111402068.87097	8.34943	0.91647
111402078.87153	8.55062	0.92744
111402088.87209	7.94705	0.89411
111402098.87265	10.16015	1.01097
111402108.87321	7.34347	0.85949
111402118.87377	10.56253	1.0308
111402128.87434	8.24883	0.91093
111402138.8749	7.44407	0.86536
111402148.87546	8.45002	0.92197
111402158.87602	9.0536	0.95433
111402168.87658	9.0536	0.95433
111402178.87714	11.56849	1.07877
111402188.87771	10.36134	1.02093
111402198.87827	9.65717	0.98563
111402208.87883	8.65122	0.93288
111402218.87939	8.75181	0.93829
111402228.87995	8.14824	0.90536
111402238.88051	8.75181	0.93829
111402248.88108	8.85241	0.94367
111402258.88164	9.75777	0.99075
111402268.8822	9.25479	0.96488
111402278.88276	9.75777	0.99075
111402288.88332	9.85836	0.99584
111402298.88388	7.54466	0.87118
111402308.88445	9.0536	0.95433
111402318.88501	8.14824	0.90536
111402328.88557	10.26074	1.01597
111402338.88613	8.75181	0.93829
111402348.88669	10.56253	1.0308
111402358.88725	7.74586	0.88272
111402368.88781	9.35538	0.97011
111402378.88838	9.55657	0.98048
111402388.88894	7.74586	0.88272
111402398.8895	8.85241	0.94367
