TIME	RATE	ERROR
51498.17065	1.8	0.42426
51498.17076	1.9	0.43589
51498.17088	1.7	0.41231
51498.171	2.3	0.47958
51498.17111	1.5	0.3873
51498.17123	1.6	0.4
51498.17134	1.7	0.41231
51498.17146	1.3	0.36056
51498.17157	2.0	0.44721
51498.17169	1.6	0.4
51498.17181	1.8	0.42426
51498.17192	1.5	0.3873
51498.17204	0.9	0.3
51498.17215	1.6	0.4
51498.17227	1.6	0.4
51498.17238	2.1	0.45826
51498.1725	1.8	0.42426
51498.17262	2.6	0.5099
51498.17273	2.0	0.44721
51498.17285	1.8	0.42426
51498.17296	2.0	0.44721
51498.17308	1.2	0.34641
51498.17319	1.0	0.31623
51498.17331	1.4	0.37417
51498.17343	2.0	0.44721
51498.17354	1.9	0.43589
51498.17366	2.4	0.4899
51498.17377	1.1	0.33166
51498.17389	1.2	0.34641
51498.174	1.3	0.36056
51498.17412	2.2	0.46904
51498.17424	1.4	0.37417
51498.17435	1.5	0.3873
51498.17447	2.0	0.44721
51498.17458	0.6	0.24495
51498.1747	2.1	0.45826
51498.17481	1.3	0.36056
51498.17493	1.1	0.33166
51498.17505	1.5	0.3873
51498.17516	1.0	0.31623
51498.17528	1.7	0.41231
51498.17539	1.8	0.42426
51498.17551	1.1	0.33166
51498.17562	1.9	0.43589
51498.17574	1.5	0.3873
51498.17586	2.6	0.5099
51498.17597	1.9	0.43589
51498.17609	1.4	0.37417
51498.1762	1.9	0.43589
51498.17632	1.2	0.34641
51498.17643	2.2	0.46904
51498.17655	1.6	0.4
51498.17667	2.1	0.45826
51498.17678	2.0	0.44721
51498.1769	2.3	0.47958
51498.17701	1.9	0.43589
51498.17713	1.3	0.36056
51498.17725	1.6	0.4
51498.17736	1.4	0.37417
51498.17748	1.4	0.37417
51498.17759	2.0	0.44721
51498.17771	1.1	0.33166
51498.17782	0.8	0.28284
51498.17794	1.8	0.42426
51498.17806	1.6	0.4
51498.17817	1.1	0.33166
51498.17829	1.3	0.36056
51498.1784	1.8	0.42426
51498.17852	1.4	0.37417
51498.17863	1.2	0.34641
51498.17875	1.4	0.37417
51498.17887	1.4	0.37417
51498.17898	1.6	0.4
51498.1791	1.9	0.43589
51498.17921	1.6	0.4
51498.17933	1.5	0.3873
51498.17944	1.7	0.41231
51498.17956	2.2	0.46904
51498.17968	1.4	0.37417
51498.17979	1.9	0.43589
51498.17991	1.5	0.3873
51498.18002	0.9	0.3
51498.18014	1.6	0.4
51498.18025	1.5	0.3873
51498.18037	1.9	0.43589
51498.23731	1.1	0.33166
51498.23742	1.6	0.4
51498.23754	2.2	0.46904
51498.23766	1.2	0.34641
51498.23777	1.2	0.34641
51498.23789	1.3	0.36056
51498.238	1.2	0.34641
51498.23812	2.2	0.46904
51498.23823	1.5	0.3873
51498.23835	1.2	0.34641
51498.23847	1.6	0.4
51498.23858	1.7	0.41231
51498.2387	1.2	0.34641
51498.23881	1.4	0.37417
51498.23893	1.4	0.37417
51498.23905	1.3	0.36056
51498.23916	1.6	0.4
51498.23928	1.8	0.42426
51498.23939	1.2	0.34641
51498.23951	0.9	0.3
51498.23962	1.6	0.4
51498.23974	1.8	0.42426
51498.23986	1.4	0.37417
51498.23997	1.4	0.37417
51498.24009	1.1	0.33166
51498.2402	1.8	0.42426
51498.24032	1.8	0.42426
51498.24043	1.0	0.31623
51498.24055	1.9	0.43589
51498.24067	2.2	0.46904
51498.24078	2.1	0.45826
51498.2409	2.2	0.46904
51498.24101	1.4	0.37417
51498.24113	1.5	0.3873
51498.24124	1.0	0.31623
51498.24136	1.5	0.3873
51498.24148	1.1	0.33166
51498.24159	1.4	0.37417
51498.24171	1.1	0.33166
51498.24182	1.4	0.37417
51498.24194	1.5	0.3873
51498.24205	1.2	0.34641
51498.24217	1.6	0.4
51498.24229	1.6	0.4
51498.2424	1.6	0.4
51498.24252	2.3	0.47958
51498.24263	2.1	0.45826
51498.24275	1.4	0.37417
51498.24286	1.3	0.36056
51498.24298	2.1	0.45826
51498.2431	1.9	0.43589
51498.24321	1.5	0.3873
51498.24333	1.0	0.31623
51498.24344	2.2	0.46904
51498.24356	1.7	0.41231
51498.24367	1.8	0.42426
51498.24379	1.5	0.3873
51498.24391	1.0	0.31623
51498.24402	1.3	0.36056
51498.24414	0.9	0.3
51498.24425	2.0	0.44721
51498.24437	1.3	0.36056
51498.24448	1.8	0.42426
51498.2446	1.4	0.37417
51498.24472	1.9	0.43589
51498.24483	0.9	0.3
51498.24495	1.2	0.34641
51498.24506	1.8	0.42426
51498.24518	1.5	0.3873
51498.24529	1.1	0.33166
51498.24541	1.2	0.34641
51498.24553	0.7	0.26458
51498.24564	1.9	0.43589
51498.24576	1.2	0.34641
51498.24587	1.3	0.36056
51498.24599	0.6	0.24495
51498.2461	1.3	0.36056
51498.24622	1.4	0.37417
51498.24634	0.8	0.28284
51498.24645	1.5	0.3873
51498.24657	1.9	0.43589
51498.24668	2.6	0.5099
51498.2468	1.5	0.3873
51498.24691	1.4	0.37417
51498.24703	1.4	0.37417
51498.24715	1.4	0.37417
51498.24726	1.5	0.3873
51498.24738	2.0	0.44721
51498.24749	1.2	0.34641
51498.24761	1.4	0.37417
51498.24772	1.8	0.42426
51498.24784	1.8	0.42426
51498.24796	1.8	0.42426
51498.24807	1.4	0.37417
51498.24819	2.1	0.45826
51498.2483	1.6	0.4
51498.24842	1.1	0.33166
51498.24853	2.2	0.46904
51498.24865	1.8	0.42426
51498.24877	1.4	0.37417
51498.24888	1.3	0.36056
51498.249	2.0	0.44721
51498.24911	1.4	0.37417
51498.24923	1.5	0.3873
51498.24935	1.3	0.36056
51498.24946	1.2	0.34641
51498.24958	1.9	0.43589
51498.24969	1.6	0.4
51498.24981	2.1	0.45826
51498.24992	1.3	0.36056
51498.25004	1.6	0.4
51498.25016	1.2	0.34641
51498.25027	1.1	0.33166
51498.25039	1.2	0.34641
51498.2505	1.3	0.36056
51498.25062	1.6	0.4
51498.30397	2.7	0.51962
51498.30409	2.8	0.52915
51498.3042	2.4	0.4899
51498.30432	2.1	0.45826
51498.30443	2.2	0.46904
51498.30455	2.2	0.46904
51498.30466	2.2	0.46904
51498.30478	2.9	0.53852
51498.3049	1.9	0.43589
51498.30501	1.3	0.36056
51498.30513	2.4	0.4899
51498.30524	1.7	0.41231
51498.30536	2.1	0.45826
51498.30547	2.4	0.4899
51498.30559	2.5	0.5
51498.30571	1.3	0.36056
51498.30582	2.3	0.47958
51498.30594	2.9	0.53852
51498.30605	2.9	0.53852
51498.30617	1.5	0.3873
51498.30628	2.2	0.46904
51498.3064	2.5	0.5
51498.30652	2.4	0.4899
51498.30663	1.9	0.43589
51498.30675	2.5	0.5
51498.30686	2.1	0.45826
51498.30698	1.9	0.43589
51498.30709	2.3	0.47958
51498.30721	1.8	0.42426
51498.30733	1.5	0.3873
51498.30744	1.9	0.43589
51498.30756	1.3	0.36056
51498.30767	2.4	0.4899
51498.30779	1.8	0.42426
51498.3079	1.3	0.36056
51498.30802	1.6	0.4
51498.30814	2.7	0.51962
51498.30825	2.0	0.44721
51498.30837	2.2	0.46904
51498.30848	2.4	0.4899
51498.3086	2.3	0.47958
51498.30871	2.0	0.44721
51498.30883	2.0	0.44721
51498.30895	1.9	0.43589
51498.30906	0.6	0.24495
51498.30918	2.6	0.5099
51498.30929	2.2	0.46904
51498.30941	1.3	0.36056
51498.30952	2.1	0.45826
51498.30964	3.0	0.54772
51498.30976	3.3	0.57446
51498.30987	3.0	0.54772
51498.30999	2.8	0.52915
51498.3101	2.7	0.51962
51498.31022	1.8	0.42426
51498.31033	1.5	0.3873
51498.31045	1.1	0.33166
51498.31057	3.3	0.57446
51498.31068	2.0	0.44721
51498.3108	2.6	0.5099
51498.31091	1.8	0.42426
51498.31103	1.2	0.34641
51498.31115	2.5	0.5
51498.31126	2.6	0.5099
51498.31138	3.8	0.61644
51498.31149	2.2	0.46904
51498.31161	2.7	0.51962
51498.31172	2.8	0.52915
51498.31184	2.2	0.46904
51498.31196	1.6	0.4
51498.31207	2.4	0.4899
51498.31219	1.7	0.41231
51498.3123	2.0	0.44721
51498.31242	2.4	0.4899
51498.31253	1.8	0.42426
51498.31265	2.6	0.5099
51498.31277	2.7	0.51962
51498.31288	1.8	0.42426
51498.313	1.7	0.41231
51498.31311	2.3	0.47958
51498.31323	2.2	0.46904
51498.31334	3.1	0.55678
51498.31346	1.8	0.42426
51498.31358	1.8	0.42426
51498.31369	2.3	0.47958
51498.31381	2.8	0.52915
51498.31392	1.7	0.41231
51498.31404	2.7	0.51962
51498.31415	1.9	0.43589
51498.31427	2.7	0.51962
51498.31439	1.9	0.43589
51498.3145	2.3	0.47958
51498.31462	3.3	0.57446
51498.31473	2.5	0.5
51498.31485	3.3	0.57446
51498.31496	2.4	0.4899
51498.31508	2.0	0.44721
51498.3152	2.3	0.47958
51498.31531	2.4	0.4899
51498.31543	2.7	0.51962
51498.31554	3.5	0.59161
51498.31566	2.9	0.53852
51498.31577	2.6	0.5099
51498.31589	3.2	0.56569
51498.31601	3.1	0.55678
51498.31612	2.4	0.4899
51498.31624	3.5	0.59161
51498.31635	3.7	0.60828
51498.31647	1.8	0.42426
51498.31658	3.2	0.56569
51498.3167	2.5	0.5
51498.31682	1.9	0.43589
51498.31693	2.6	0.5099
51498.31705	2.2	0.46904
51498.31716	2.5	0.5
51498.31728	2.5	0.5
51498.43752	2.0	0.44721
51498.43764	2.3	0.47958
51498.43775	2.0	0.44721
51498.43787	3.4	0.5831
51498.43799	2.4	0.4899
51498.4381	2.9	0.53852
51498.43822	2.8	0.52915
51498.43833	2.6	0.5099
51498.43845	2.4	0.4899
51498.43856	3.0	0.54772
51498.43868	2.2	0.46904
51498.4388	2.8	0.52915
51498.43891	2.9	0.53852
51498.43903	2.2	0.46904
51498.43914	2.6	0.5099
51498.43926	1.9	0.43589
51498.43937	1.6	0.4
51498.43949	2.1	0.45826
51498.43961	2.9	0.53852
51498.43972	3.0	0.54772
51498.43984	2.4	0.4899
51498.43995	3.0	0.54772
51498.44007	3.8	0.61644
51498.44018	3.5	0.59161
51498.4403	3.2	0.56569
51498.44042	2.5	0.5
51498.44053	3.3	0.57446
51498.44065	3.7	0.60828
51498.44076	3.2	0.56569
51498.44088	2.0	0.44721
51498.44099	2.4	0.4899
51498.44111	2.6	0.5099
51498.44123	3.0	0.54772
51498.44134	2.4	0.4899
51498.44146	2.2	0.46904
51498.44157	2.6	0.5099
51498.44169	3.4	0.5831
51498.4418	3.0	0.54772
51498.44192	3.3	0.57446
51498.44204	2.6	0.5099
51498.44215	2.1	0.45826
51498.44227	2.7	0.51962
51498.44238	2.7	0.51962
51498.4425	3.0	0.54772
51498.44261	2.8	0.52915
51498.44273	2.4	0.4899
51498.44285	2.5	0.5
51498.44296	4.0	0.63246
51498.44308	3.3	0.57446
51498.44319	2.7	0.51962
51498.44331	2.0	0.44721
51498.44342	2.8	0.52915
51498.44354	2.3	0.47958
51498.44366	2.6	0.5099
51498.44377	3.2	0.56569
51498.44389	2.8	0.52915
51498.444	1.9	0.43589
51498.44412	2.5	0.5
51498.44423	2.6	0.5099
51498.44435	2.9	0.53852
51498.44447	2.7	0.51962
51498.44458	3.2	0.56569
51498.4447	3.1	0.55678
51498.44481	2.2	0.46904
51498.44493	2.8	0.52915
51498.44504	2.5	0.5
51498.44516	2.2	0.46904
51498.44528	2.9	0.53852
51498.44539	3.3	0.57446
51498.44551	2.7	0.51962
51498.44562	2.3	0.47958
51498.44574	2.4	0.4899
51498.44586	3.2	0.56569
51498.44597	2.8	0.52915
51498.44609	2.8	0.52915
51498.4462	2.2	0.46904
51498.44632	2.2	0.46904
51498.44643	2.2	0.46904
51498.44655	2.9	0.53852
51498.44667	3.1	0.55678
51498.44678	2.6	0.5099
51498.4469	2.0	0.44721
51498.44701	2.2	0.46904
51498.44713	1.9	0.43589
51498.44748	2.5	0.5
51498.44794	2.8	0.52915
51498.44805	2.1	0.45826
51498.44817	1.4	0.37417
51498.44829	2.0	0.44721
51498.4484	2.5	0.5
51498.44852	2.6	0.5099
51498.44863	2.9	0.53852
51498.44875	1.8	0.42426
51498.44886	2.9	0.53852
51498.44898	2.8	0.52915
51498.4491	1.6	0.4
51498.44921	3.2	0.56569
51498.44933	2.3	0.47958
51498.44944	2.7	0.51962
51498.44956	1.9	0.43589
51498.44967	2.2	0.46904
51498.44979	2.3	0.47958
51498.44991	1.9	0.43589
51498.45002	3.7	0.60828
51498.45014	2.1	0.45826
51498.45025	3.5	0.59161
51498.45037	2.6	0.5099
51498.45048	2.2	0.46904
51498.4506	2.2	0.46904
51498.45072	2.0	0.44721
51498.45083	3.0	0.54772
51498.50418	2.5	0.5
51498.5043	2.4	0.4899
51498.50441	2.8	0.52915
51498.50453	3.0	0.54772
51498.50465	3.3	0.57446
51498.50476	2.4	0.4899
51498.50488	1.7	0.41231
51498.50499	2.8	0.52915
51498.50511	1.5	0.3873
51498.50522	2.1	0.45826
51498.50534	2.2	0.46904
51498.50546	2.1	0.45826
51498.50557	2.6	0.5099
51498.50569	2.8	0.52915
51498.5058	2.3	0.47958
51498.50592	1.8	0.42426
51498.50603	1.8	0.42426
51498.50615	1.3	0.36056
51498.50627	2.7	0.51962
51498.50638	1.8	0.42426
51498.5065	2.5	0.5
51498.50661	2.7	0.51962
51498.50673	2.3	0.47958
51498.50684	3.3	0.57446
51498.50696	2.2	0.46904
51498.50708	2.1	0.45826
51498.50719	2.2	0.46904
51498.50731	1.8	0.42426
51498.50742	2.1	0.45826
51498.50754	1.8	0.42426
51498.50766	2.1	0.45826
51498.50777	1.9	0.43589
51498.50789	2.1	0.45826
51498.508	2.8	0.52915
51498.50812	2.2	0.46904
51498.50823	2.0	0.44721
51498.50835	3.1	0.55678
51498.50847	2.6	0.5099
51498.50858	2.7	0.51962
51498.5087	2.3	0.47958
51498.50881	2.1	0.45826
51498.50893	2.4	0.4899
51498.50904	2.2	0.46904
51498.50916	2.7	0.51962
51498.50928	2.1	0.45826
51498.50939	2.1	0.45826
51498.50951	2.1	0.45826
51498.50962	2.7	0.51962
51498.50974	2.1	0.45826
51498.50985	2.4	0.4899
51498.50997	1.5	0.3873
51498.51009	2.7	0.51962
51498.5102	2.3	0.47958
51498.51032	2.3	0.47958
51498.51043	1.8	0.42426
51498.51055	2.7	0.51962
51498.51066	2.6	0.5099
51498.51078	2.2	0.46904
51498.5109	2.4	0.4899
51498.51101	2.7	0.51962
51498.51113	2.3	0.47958
51498.51124	2.6	0.5099
51498.51136	2.4	0.4899
51498.51147	2.2	0.46904
51498.51159	2.0	0.44721
51498.51171	2.1	0.45826
51498.51182	1.9	0.43589
51498.51194	3.1	0.55678
51498.51205	2.5	0.5
51498.51217	2.1	0.45826
51498.51228	2.3	0.47958
51498.5124	1.6	0.4
51498.51252	2.3	0.47958
51498.51263	2.8	0.52915
51498.51275	2.8	0.52915
51498.51286	1.2	0.34641
51498.51298	2.9	0.53852
51498.51309	2.5	0.5
51498.51321	1.8	0.42426
51498.51333	1.7	0.41231
51498.51344	2.6	0.5099
51498.51356	1.0	0.31623
51498.51367	1.7	0.41231
51498.51379	2.0	0.44721
51498.5139	2.0	0.44721
51498.51402	2.4	0.4899
51498.51414	2.9	0.53852
51498.51425	2.3	0.47958
51498.51437	1.6	0.4
51498.51448	2.1	0.45826
51498.5146	2.1	0.45826
51498.51471	1.7	0.41231
51498.51483	2.3	0.47958
51498.51495	2.0	0.44721
51498.51506	2.0	0.44721
51498.51518	2.2	0.46904
51498.51529	3.4	0.5831
51498.51541	2.6	0.5099
51498.51552	2.0	0.44721
51498.51564	2.6	0.5099
51498.51576	1.8	0.42426
51498.51587	3.0	0.54772
51498.51599	2.8	0.52915
51498.5161	2.8	0.52915
51498.51622	2.1	0.45826
51498.51633	2.5	0.5
51498.51645	2.1	0.45826
51498.51657	1.7	0.41231
51498.51668	2.0	0.44721
51498.5168	1.7	0.41231
51498.51691	1.5	0.3873
51498.51703	2.1	0.45826
51498.51714	1.7	0.41231
51498.51726	1.6	0.4
51498.51738	2.6	0.5099
51498.51749	2.2	0.46904
51498.57084	2.0	0.44721
51498.57096	2.0	0.44721
51498.57108	2.3	0.47958
51498.57119	2.0	0.44721
51498.57131	2.4	0.4899
